Entity,Code,Year,Emissions,Ranking
France,FRA,1910,150612384,
Kazakhstan,KAZ,1998,150541203,
Brazil,BRA,1975,150513658,
Pakistan,PAK,2013,150451314,33
Indonesia,IDN,1990,150285898,
France,FRA,1909,150095760,
United Kingdom,GBR,1859,150011488,
Iran,IRN,1984,149942677,
Venezuela,VEN,2007,149923835,
Kazakhstan,KAZ,1970,149639775,
South Africa,ZAF,1970,149618186,
Iran,IRN,1983,149213431,
Egypt,EGY,2004,149143716,
Czechia,CZE,1991,148894127,
Algeria,DZA,2016,148839049,35
Kazakhstan,KAZ,2000,148756158,
Russia,RUS,1943,148418664,
Japan,JPN,1942,147791833,
Poland,POL,1954,147568498,
Iran,IRN,1986,147536042,
Australia,AUS,1970,147479769,
Argentina,ARG,1999,147285131,
United States of America,USA,1877,147175552,
Netherlands,NLD,1985,146980154,
France,FRA,1908,146713888,
Venezuela,VEN,2017,146673329,35
Egypt,EGY,2003,146462056,
Italy,ITA,1962,146254985,
Japan,JPN,1953,145769795,
Netherlands,NLD,1988,145602957,
France,FRA,1907,145596368,
Ukraine,UKR,1952,145553661,
Vietnam,VNM,2011,145047830,33
Canada,CAN,1949,145021890,
Romania,ROU,1973,144765046,
Russia,RUS,1933,144763749,
Spain,ESP,1972,144716202,
Czechia,CZE,1992,144619022,
North Korea,PRK,1985,144284694,
Philippines,PHL,2019,144262785,35
Netherlands,NLD,1984,144073013,
Mexico,MEX,1973,144071745,
Netherlands,NLD,1986,144014556,
United States of America,USA,1878,143903600,
Iran,IRN,1974,143775405,
Pakistan,PAK,2006,143726724,
Germany,DEU,1882,143665440,
Canada,CAN,1947,143547853,
Algeria,DZA,2014,143220807,35
South Africa,ZAF,1969,143142849,
Brazil,BRA,1974,142927314,
Kazakhstan,KAZ,2001,142923904,
India,IND,1963,142652308,
Japan,JPN,1954,142534085,
Argentina,ARG,2000,142358347,
Kazakhstan,KAZ,1969,142269111,
Russia,RUS,1942,142210059,
Australia,AUS,1969,142123802,
South Korea,KOR,1982,141983231,
Japan,JPN,1955,141875010,
Netherlands,NLD,1970,141803302,
Vietnam,VNM,2013,140893212,34
Netherlands,NLD,1971,140666155,
Canada,CAN,1944,140407202,
United Kingdom,GBR,1856,140375168,
Egypt,EGY,2000,140347603,
Nigeria,NGA,2019,140026463,36
Belgium,BEL,1979,139787307,
South Korea,KOR,1981,139777507,
India,IND,1964,139687953,
United States of America,USA,1873,139506800,
Argentina,ARG,1998,139451896,
Romania,ROU,1991,139370253,
United Kingdom,GBR,1854,139301616,
Iran,IRN,1975,139213971,
Poland,POL,1953,139193039,
Taiwan,TWN,1992,139135802,
Philippines,PHL,2018,138924391,35
Japan,JPN,1944,138732713,
Belgium,BEL,1973,138639394,
Czechia,CZE,1993,138637288,
Canada,CAN,1946,138422155,
Canada,CAN,1943,138062153,
Saudi Arabia,SAU,1979,138004312,
South Africa,ZAF,1968,137953754,
France,FRA,1921,137909296,
United Kingdom,GBR,1857,137861664,
France,FRA,1940,137737088,
Argentina,ARG,1997,137641464,
Turkey,TUR,1989,137570452,
Iran,IRN,1982,137514971,
Netherlands,NLD,1983,137357472,
Kazakhstan,KAZ,1968,136608142,
France,FRA,1906,136568272,
Malaysia,MYS,2002,136338145,
Vietnam,VNM,2010,136113090,
Nigeria,NGA,2018,136078346,36
Ukraine,UKR,1951,135919177,
United States of America,USA,1875,135747536,
Vietnam,VNM,2012,135685893,34
Belgium,BEL,1978,135450970,
Iraq,IRQ,2011,135273962,34
United Kingdom,GBR,1858,135113664,
Czechia,CZE,1996,134962546,
Belgium,BEL,1974,134950440,
Malaysia,MYS,2001,134948134,
South Korea,KOR,1980,134888634,
Belgium,BEL,1980,134836647,
Argentina,ARG,1996,134762070,
Pakistan,PAK,2005,134756237,
Czechia,CZE,1969,134734706,
North Korea,PRK,1984,134661631,
Argentina,ARG,2003,134631008,
Philippines,PHL,2017,134518537,36
Thailand,THA,1994,134506582,
Australia,AUS,1968,134496900,
United States of America,USA,1874,134296592,
Germany,DEU,1881,134263616,
Argentina,ARG,2001,134003944,
China,CHN,1953,133783734,
South Africa,ZAF,1967,133760109,
Netherlands,NLD,1982,133487258,
Venezuela,VEN,1997,133483540,
United Arab Emirates,ARE,2007,133263712,
South Korea,KOR,1979,133218860,
Venezuela,VEN,1995,132874714,
Kazakhstan,KAZ,1967,132873237,
United States of America,USA,1876,132820000,
India,IND,1962,132776205,
Indonesia,IDN,1988,132721728,
Algeria,DZA,2013,132434630,35
Czechia,CZE,1994,132376137,
Mexico,MEX,1972,132279063,
Romania,ROU,1972,132254208,
Brazil,BRA,1973,132019610,
Japan,JPN,1938,131735124,
Indonesia,IDN,1989,131674152,
Czechia,CZE,1995,131608260,
Canada,CAN,1942,131077410,
Romania,ROU,1992,131072277,
Czechia,CZE,1997,130733067,
Belgium,BEL,1972,130637835,
Taiwan,TWN,1991,130615995,
Canada,CAN,1945,130520898,
United Kingdom,GBR,1855,130442064,
Japan,JPN,1952,130405972,
Nigeria,NGA,2017,130275457,37
Belgium,BEL,1998,130227110,
Romania,ROU,1996,130095925,
Pakistan,PAK,2004,129959475,
Belgium,BEL,1976,129678114,
Venezuela,VEN,2018,129596274,37
Nigeria,NGA,2011,129568367,35
Venezuela,VEN,1994,129530854,
Russia,RUS,1932,129522280,
Belgium,BEL,1996,129496580,
Iran,IRN,1973,129475309,
France,FRA,1903,129342864,
France,FRA,1900,129276912,
Australia,AUS,1967,129144212,
Belgium,BEL,2004,128805292,
Spain,ESP,1971,128458528,
Turkey,TUR,1987,128442603,
Belgium,BEL,2003,128275265,
Czechia,CZE,2007,128264330,
South Africa,ZAF,1966,128234886,
South Africa,ZAF,1965,128140038,
Czechia,CZE,2004,128113811,
Algeria,DZA,2012,128109954,35
Poland,POL,1952,128042349,
China,CHN,1952,127986899,
Nigeria,NGA,2014,127822618,36
Argentina,ARG,1995,127764859,
Japan,JPN,1939,127746841,
Uzbekistan,UZB,2002,127518315,
France,FRA,1905,127426592,
Czechia,CZE,2003,127382803,
Kazakhstan,KAZ,1966,127070689,
Czechia,CZE,2000,127066454,
Romania,ROU,1995,127032856,
Czechia,CZE,2001,126957555,
Czechia,CZE,1968,126914981,
Belgium,BEL,2002,126878582,
Belgium,BEL,2000,126735296,
Malaysia,MYS,2000,126514334,
Czechia,CZE,2006,126449455,
United States of America,USA,1872,126305408,
Belgium,BEL,1977,126199950,
Mexico,MEX,1971,126190143,
Belgium,BEL,2001,126084684,
France,FRA,1904,125997632,
Belgium,BEL,1995,125956473,
Uzbekistan,UZB,2003,125935969,
Egypt,EGY,2002,125781450,
Romania,ROU,1971,125681454,
Czechia,CZE,2005,125671942,
Belgium,BEL,2005,125661688,
Belgium,BEL,1970,125490458,
Czechia,CZE,1964,125463523,
Japan,JPN,1937,125430964,
Ukraine,UKR,1950,125407707,
Czechia,CZE,1998,125317669,
France,FRA,1943,125245677,
North Korea,PRK,1983,125163144,
Uzbekistan,UZB,2004,125118217,
France,FRA,1901,125004688,
Kazakhstan,KAZ,1999,124952449,
Belgium,BEL,1994,124816904,
Turkey,TUR,1988,124727961,
Belgium,BEL,1999,124718898,
Germany,DEU,1880,124502720,
Egypt,EGY,1999,124497410,
Argentina,ARG,2002,124392348,
Italy,ITA,1961,124374897,
Egypt,EGY,2001,124292775,
Belarus,BLR,1988,124103380,
Belgium,BEL,1997,124001764,
Venezuela,VEN,1993,123967880,
Belgium,BEL,2006,123905757,
Czechia,CZE,2002,123895622,
Indonesia,IDN,1987,123878949,
Belgium,BEL,1981,123574465,
Belgium,BEL,1969,123491757,
Japan,JPN,1951,123457651,
Belgium,BEL,1991,123382082,
Uzbekistan,UZB,2008,123038846,
Czechia,CZE,2008,122941373,
Vietnam,VNM,2009,122832864,
Romania,ROU,1993,122832305,
United Kingdom,GBR,1850,122604768,
Uzbekistan,UZB,2001,122586352,
Belgium,BEL,1992,122507842,
France,FRA,1942,122495737,
North Korea,PRK,1990,122399984,
Venezuela,VEN,1996,122339611,
Czechia,CZE,1965,122249443,
Philippines,PHL,2016,122236809,36
Argentina,ARG,1994,122229002,
Indonesia,IDN,1986,122166484,
Poland,POL,1951,122132228,
Nigeria,NGA,2013,122097806,36
Romania,ROU,1994,121961462,
Belgium,BEL,1975,121823421,
Venezuela,VEN,1990,121821981,
Uzbekistan,UZB,1999,121739198,
United Arab Emirates,ARE,2006,121737235,
Taiwan,TWN,1989,121692171,
France,FRA,1917,121604496,
Indonesia,IDN,1985,121597738,
Czechia,CZE,1966,121559126,
Egypt,EGY,1998,121465259,
Belgium,BEL,1993,121444205,
Belarus,BLR,1986,121427962,
Argentina,ARG,1988,121405880,
Belgium,BEL,1971,121370584,
Belarus,BLR,1989,121311925,
Czechia,CZE,1967,121305130,
Argentina,ARG,1992,121230584,
Thailand,THA,1993,121213481,
Belarus,BLR,1985,121132688,
Romania,ROU,1997,121074674,
Uzbekistan,UZB,2000,120994017,
Belarus,BLR,1987,120891625,
Poland,POL,1917,120882688,
Australia,AUS,1965,120852669,
Malaysia,MYS,1997,120817020,
India,IND,1961,120583156,
Iran,IRN,1980,120564470,
Czechia,CZE,1963,120554561,
Belgium,BEL,2007,120496162,
Taiwan,TWN,1990,120439692,
Kazakhstan,KAZ,1965,120323580,
Belgium,BEL,1990,120309343,
France,FRA,1899,120300112,
Australia,AUS,1966,120219302,
Belgium,BEL,2008,120202862,
Uzbekistan,UZB,1988,120195180,
Algeria,DZA,2009,120185864,
Canada,CAN,1941,120151837,
Romania,ROU,1970,119981485,
France,FRA,1941,119908962,
Algeria,DZA,2011,119806879,36
South Africa,ZAF,1964,119546018,
Uzbekistan,UZB,2006,119364938,
Uzbekistan,UZB,2007,119113158,
Uzbekistan,UZB,1998,118498913,
Belgium,BEL,1968,118437576,
France,FRA,1914,118350864,
Saudi Arabia,SAU,1977,118070284,
Algeria,DZA,2010,117814083,
Argentina,ARG,1993,117777485,
France,FRA,1902,117662032,
Uzbekistan,UZB,1986,117602630,
Argentina,ARG,1991,117505744,
Czechia,CZE,2010,117500712,
Pakistan,PAK,2003,117490717,
Uzbekistan,UZB,1989,117442273,
Uzbekistan,UZB,1985,117396248,
North Korea,PRK,1991,117226609,
Belgium,BEL,1982,117102776,
Uzbekistan,UZB,1987,117091521,
Argentina,ARG,1989,117021309,
North Korea,PRK,1982,116892097,
Japan,JPN,1936,116849074,
Nigeria,NGA,2016,116773617,37
Spain,ESP,1970,116766485,
Venezuela,VEN,2019,116687785,37
United Kingdom,GBR,1851,116654432,
Czechia,CZE,1999,116623428,
Uzbekistan,UZB,2005,116576172,
Nigeria,NGA,2012,116330621,36
United Kingdom,GBR,1852,116240400,
Poland,POL,1913,116207424,
France,FRA,1919,116141472,
Germany,DEU,1945,116064528,
United Kingdom,GBR,1849,116005904,
Netherlands,NLD,1969,115802063,
Venezuela,VEN,1988,115751755,
Turkey,TUR,1986,115618234,
Uzbekistan,UZB,1993,115617242,
United Kingdom,GBR,1853,115599200,
Czechia,CZE,2009,115193743,
Czechia,CZE,2011,115060259,37
Venezuela,VEN,1991,115052493,
France,FRA,1898,115045936,
Saudi Arabia,SAU,1978,115024275,
Russia,RUS,1931,114959158,
Uzbekistan,UZB,2012,114923995,37
Argentina,ARG,1987,114878347,
Czechia,CZE,1962,114600977,
Greece,GRC,2007,114592335,
Belgium,BEL,2010,114561030,
United Arab Emirates,ARE,2005,114477493,
North Korea,PRK,1981,114394944,
Malaysia,MYS,1998,114237500,
North Korea,PRK,1980,114082190,
Brazil,BRA,1972,114014328,
Mexico,MEX,1970,113950680,
Uzbekistan,UZB,2018,113938370,38
Malaysia,MYS,1995,113933664,
Greece,GRC,2005,113930967,
China,CHN,1942,113740632,
North Korea,PRK,1977,113665182,
Iraq,IRQ,2004,113635003,
Nigeria,NGA,2015,113539484,36
Netherlands,NLD,1968,113445547,
Kazakhstan,KAZ,1964,113423819,
South Korea,KOR,1978,113401742,
Vietnam,VNM,2008,113244479,
Iraq,IRQ,2005,112980382,
Pakistan,PAK,2002,112903645,
Malaysia,MYS,1996,112899484,
Uzbekistan,UZB,2011,112821860,38
Uzbekistan,UZB,1991,112755524,
Iran,IRN,1981,112528566,
Ukraine,UKR,1949,112500531,
Greece,GRC,2006,112472438,
Indonesia,IDN,1984,112460530,
Belarus,BLR,1984,112332919,
Nigeria,NGA,2010,112314013,
Philippines,PHL,2015,112142487,37
Poland,POL,1950,112122893,
Argentina,ARG,1990,112079088,
Taiwan,TWN,1988,111817840,
United Arab Emirates,ARE,2004,111801525,
United Arab Emirates,ARE,2000,111788067,
Romania,ROU,1969,111527437,
India,IND,1960,111490724,
Belarus,BLR,1983,111358112,
France,FRA,1897,111261024,
Greece,GRC,2008,111125242,
Iraq,IRQ,2010,110985347,
Uzbekistan,UZB,1992,110984327,
Czechia,CZE,2012,110955165,38
Poland,POL,1912,110934928,
Germany,DEU,1879,110846992,
Venezuela,VEN,1987,110661134,
Argentina,ARG,1979,110616771,
North Korea,PRK,1979,110262988,
Uzbekistan,UZB,2019,110245989,38
North Korea,PRK,1976,110030863,
Uzbekistan,UZB,1990,109938863,
Belarus,BLR,1980,109884049,
Belarus,BLR,1982,109811109,
South Africa,ZAF,1963,109725151,
France,FRA,1916,109689168,
Greece,GRC,2004,109546749,
Qatar,QAT,2019,109344710,39
Uzbekistan,UZB,2013,109323435,37
United Kingdom,GBR,1848,109286128,
Uzbekistan,UZB,2017,109281509,38
Qatar,QAT,2018,109244680,39
Venezuela,VEN,1986,109239828,
Italy,ITA,1960,109203087,
Greece,GRC,2003,109089754,
Algeria,DZA,2008,109031842,
Australia,AUS,1964,108875767,
Uzbekistan,UZB,1984,108865428,
Poland,POL,1916,108776832,
Argentina,ARG,1980,108656875,
Canada,CAN,1940,108621764,
Venezuela,VEN,1989,108571086,
France,FRA,1918,108450736,
Romania,ROU,2007,108440493,
Algeria,DZA,2007,108399973,
Malaysia,MYS,1999,108291440,
North Korea,PRK,1978,108212925,
Uzbekistan,UZB,1994,107979978,
Uzbekistan,UZB,1983,107947969,
Belarus,BLR,1981,107785960,
Belgium,BEL,2009,107743367,
North Korea,PRK,1975,107623754,
Romania,ROU,1998,107561544,
Czechia,CZE,1961,107539822,
Kuwait,KWT,2019,107532047,40
China,CHN,1941,107517569,
Egypt,EGY,1997,107511982,
North Korea,PRK,1971,107453014,
Belgium,BEL,1967,107361007,
France,FRA,1945,107165641,
Pakistan,PAK,2001,107126192,
Belgium,BEL,1989,106793547,
Netherlands,NLD,1967,106682159,
Kazakhstan,KAZ,1963,106650474,
Uzbekistan,UZB,1997,106629578,
Czechia,CZE,2016,106629020,38
Uzbekistan,UZB,1980,106622184,
Algeria,DZA,1998,106620830,
Uzbekistan,UZB,1982,106489460,
Algeria,DZA,2005,106473190,
Argentina,ARG,1984,106452464,
Czechia,CZE,2013,106427459,38
Japan,JPN,1935,106382481,
France,FRA,1896,106281648,
Uzbekistan,UZB,2009,106251774,
Thailand,THA,1992,106094490,
Iran,IRN,1972,106015193,
Qatar,QAT,2014,105979595,37
Nigeria,NGA,2005,105757134,
Qatar,QAT,2015,105756096,38
Belarus,BLR,1979,105735692,
South Korea,KOR,1977,105691588,
Belgium,BEL,1963,105676390,
South Africa,ZAF,1962,105669994,
Turkey,TUR,1985,105662650,
Czechia,CZE,2017,105641726,39
United Arab Emirates,ARE,2003,105618489,
Indonesia,IDN,1982,105584191,
Venezuela,VEN,1992,105578090,
Qatar,QAT,2017,105569150,40
Uzbekistan,UZB,1996,105546009,
Romania,ROU,2008,105534579,
Poland,POL,1949,105425785,
Pakistan,PAK,2000,105418374,
Greece,GRC,2001,105385700,
Belgium,BEL,1965,105330794,
Romania,ROU,2003,105295172,
Uzbekistan,UZB,2016,105221933,39
Indonesia,IDN,1983,105184091,
Argentina,ARG,1983,105142800,
Belgium,BEL,1966,105096745,
Romania,ROU,2006,105082793,
Belgium,BEL,2011,105046058,39
Greece,GRC,2002,105020957,
Belgium,BEL,1984,104967455,
Belarus,BLR,1978,104878292,
Czechia,CZE,2015,104815377,39
Kuwait,KWT,2017,104784007,41
Poland,POL,1946,104594226,
Germany,DEU,1878,104544912,
Uzbekistan,UZB,1981,104542626,
Czechia,CZE,2018,104411211,40
Greece,GRC,2009,104354753,
Romania,ROU,2004,104269757,
Kuwait,KWT,2018,104217567,41
Argentina,ARG,1986,104150993,
Czechia,CZE,2014,104049880,38
Belgium,BEL,1985,104005443,
Belarus,BLR,1990,103689711,
Netherlands,NLD,1966,103557510,
Belgium,BEL,1964,103553992,
United Kingdom,GBR,1847,103548304,
Uzbekistan,UZB,2014,103495202,39
Iraq,IRQ,2009,103489093,
Germany,DEU,1876,103438384,
Argentina,ARG,1982,103351842,
Uzbekistan,UZB,2010,103343328,
France,FRA,1915,103233200,
United States of America,USA,1871,103020688,
Greece,GRC,2000,102999026,
North Korea,PRK,1992,102962594,
France,FRA,1895,102775200,
Romania,ROU,2005,102694473,
Belgium,BEL,2013,102674404,39
Uzbekistan,UZB,1995,102663682,
Uzbekistan,UZB,1979,102636520,
Belgium,BEL,1987,102589820,
Argentina,ARG,1978,102556123,
Japan,JPN,1950,102540986,
Belgium,BEL,2012,102428755,39
Belgium,BEL,1986,102367814,
Brazil,BRA,1971,102357941,
Colombia,COL,2019,102202444,41
Mexico,MEX,1969,102176189,
Qatar,QAT,2016,102172619,40
Bangladesh,BGD,2019,102161676,42
South Africa,ZAF,1961,102119846,
Argentina,ARG,1981,101969306,
France,FRA,1894,101899504,
Uzbekistan,UZB,1978,101835115,
Uzbekistan,UZB,2015,101791340,40
Romania,ROU,2002,101735332,
Iran,IRN,1971,101627830,
China,CHN,1951,101617407,
North Korea,PRK,1974,101611507,
India,IND,1959,101597175,
Kuwait,KWT,2016,101574341,41
Poland,POL,1918,101525776,
Germany,DEU,1875,101518448,
Saudi Arabia,SAU,1976,101459456,
Belarus,BLR,1977,101404368,
Germany,DEU,1877,101302272,
Japan,JPN,1934,101202823,
Belgium,BEL,1983,101202693,
Philippines,PHL,2014,101182148,40
Venezuela,VEN,1985,101026511,
Czechia,CZE,2019,101009765,43
Belgium,BEL,2015,100981344,41
Australia,AUS,1963,100934264,
Colombia,COL,2016,100800516,42
Argentina,ARG,1977,100706307,
United Arab Emirates,ARE,2001,100591952,
Vietnam,VNM,2007,100577312,
Argentina,ARG,1985,100531941,
Netherlands,NLD,1965,100403579,
Romania,ROU,2001,100357071,
Indonesia,IDN,1981,100297229,
Belgium,BEL,2018,100207836,42
Algeria,DZA,2006,100201162,
Romania,ROU,1968,100079400,
Kuwait,KWT,2012,100072980,40
Nigeria,NGA,2003,100008579,
United Kingdom,GBR,1845,99986896,
Belgium,BEL,2016,99806944,43
Belgium,BEL,1988,99744148,
Belgium,BEL,2019,99708878,44
Argentina,ARG,1976,99699513,
Poland,POL,1911,99602176,
Belgium,BEL,2017,99456275,42
Kazakhstan,KAZ,1962,99446434,
Pakistan,PAK,1999,99390451,
Vietnam,VNM,2006,99130369,
Czechia,CZE,1960,99081459,
Canada,CAN,1929,99030046,
Ukraine,UKR,1948,98964448,
Saudi Arabia,SAU,1974,98701808,
Nigeria,NGA,2004,98685849,
Greece,GRC,1998,98641499,
United States of America,USA,1870,98620224,
Uzbekistan,UZB,1977,98499004,
Japan,JPN,1949,98420107,
Germany,DEU,1873,98367408,
Iraq,IRQ,2006,98181051,
France,FRA,1892,98121920,
Belarus,BLR,1976,98081036,
Belgium,BEL,1962,98018304,
France,FRA,1891,97982688,
Greece,GRC,1999,97958378,
South Africa,ZAF,1960,97843513,
France,FRA,1890,97817808,
Nigeria,NGA,2006,97809442,
China,CHN,1944,97768868,
Greece,GRC,2010,97361504,
North Korea,PRK,1973,97325340,
China,CHN,1943,97178706,
Taiwan,TWN,1987,97123415,
Spain,ESP,1968,97017236,
Poland,POL,1914,97004400,
Belgium,BEL,1929,96954626,
Belgium,BEL,2014,96811323,41
Algeria,DZA,1996,96786120,
Belgium,BEL,1956,96780376,
Netherlands,NLD,1964,96776605,
Thailand,THA,1991,96746126,
Pakistan,PAK,1998,96742060,
Spain,ESP,1969,96736943,
Belarus,BLR,1991,96647125,
Belgium,BEL,1957,96487077,
France,FRA,1893,96330224,
Kuwait,KWT,2015,96264921,42
South Africa,ZAF,1958,96253277,
India,IND,1958,95958715,
Philippines,PHL,2013,95792553,40
United Kingdom,GBR,1846,95692688,
Russia,RUS,1930,95687328,
Poland,POL,1909,95535136,
Argentina,ARG,1974,95480603,
Romania,ROU,2000,95455761,
Uzbekistan,UZB,1976,95313829,
Indonesia,IDN,1979,95137102,
Saudi Arabia,SAU,1973,95053509,
Canada,CAN,1939,95003835,
Algeria,DZA,1995,94981961,
Turkey,TUR,1984,94906274,
Egypt,EGY,1995,94888432,
Japan,JPN,1929,94880335,
Indonesia,IDN,1980,94873009,
North Korea,PRK,1993,94868526,
Vietnam,VNM,2005,94859056,
Argentina,ARG,1975,94845765,
Australia,AUS,1962,94823455,
Nigeria,NGA,2008,94771974,
Kazakhstan,KAZ,1961,94749099,
Poland,POL,1915,94743712,
Greece,GRC,2011,94549577,40
Poland,POL,1910,94545856,
South Africa,ZAF,1959,94472870,
Belarus,BLR,1975,94457767,
Canada,CAN,1930,94347751,
Nigeria,NGA,2002,94304743,
Nigeria,NGA,2007,94269141,
Italy,ITA,1959,94084603,
Argentina,ARG,1973,93976069,
Indonesia,IDN,1978,93938182,
Mexico,MEX,1968,93887231,
Greece,GRC,1997,93820932,
Pakistan,PAK,1997,93787564,
Canada,CAN,1928,93776642,
United States of America,USA,1869,93695808,
Belgium,BEL,1930,93672484,
Kuwait,KWT,2013,93582752,41
Egypt,EGY,1996,93567505,
Pakistan,PAK,1996,93537445,
Brazil,BRA,1970,93530488,
Canada,CAN,1937,93483008,
United Kingdom,GBR,1844,93472304,
Taiwan,TWN,1986,93410967,
South Korea,KOR,1976,93270792,
Venezuela,VEN,1982,93201040,
Poland,POL,1908,93021632,
Venezuela,VEN,1984,93002890,
Ukraine,UKR,1947,92996755,
Canada,CAN,1923,92981328,
Venezuela,VEN,1983,92907945,
Czechia,CZE,1959,92900640,
Czechia,CZE,1958,92816734,
Belgium,BEL,1961,92698294,
Japan,JPN,1928,92390568,
Qatar,QAT,2012,92303495,41
Sweden,SWE,1970,92287025,
Egypt,EGY,1993,92277583,
Colombia,COL,2018,92228209,43
Iraq,IRQ,2008,92167050,
Germany,DEU,1872,92109296,
Romania,ROU,1967,92028751,
Belgium,BEL,1955,92017058,
Canada,CAN,1927,91999376,
Kazakhstan,KAZ,1960,91873995,
Uzbekistan,UZB,1975,91833877,
Venezuela,VEN,1981,91791584,
Iran,IRN,1970,91787455,
India,IND,1957,91772671,
Colombia,COL,2017,91669828,43
Algeria,DZA,1999,91667907,
Poland,POL,1947,91546217,
Greece,GRC,2012,91430100,42
Japan,JPN,1933,91342495,
Bulgaria,BGR,1987,91273155,
Bulgaria,BGR,1986,91172269,
Netherlands,NLD,1963,91144582,
Algeria,DZA,2003,91048193,
Kuwait,KWT,2014,91033348,42
Colombia,COL,2014,90952312,43
Belgium,BEL,1960,90908083,
Iraq,IRQ,2003,90786641,
Romania,ROU,1999,90778178,
Hungary,HUN,1984,90686105,
Venezuela,VEN,1980,90640605,
Australia,AUS,1961,90503896,
Belgium,BEL,1927,90475152,
Belgium,BEL,1937,90298118,
Mexico,MEX,1921,90288288,
Malaysia,MYS,1994,90224284,
Argentina,ARG,1972,90066754,
Bulgaria,BGR,1983,90061303,
Mexico,MEX,1967,90005531,
Colombia,COL,2013,89988822,42
Belarus,BLR,1974,89865260,
Bulgaria,BGR,1982,89844183,
Turkey,TUR,1983,89812381,
Ukraine,UKR,1940,89797162,
South Africa,ZAF,1957,89651522,
Canada,CAN,1918,89518848,
Romania,ROU,2011,89518246,41
North Korea,PRK,1972,89504899,
Japan,JPN,1927,89482208,
Belgium,BEL,1951,89449782,
Algeria,DZA,2002,89406721,
Kuwait,KWT,2010,89272225,
Bulgaria,BGR,1985,89221333,
Greece,GRC,1996,89132008,
United Kingdom,GBR,1843,89093824,
Hungary,HUN,1983,88974785,
Poland,POL,1948,88925238,
Argentina,ARG,1971,88847186,
France,FRA,1889,88797040,
Belarus,BLR,1992,88662013,
Philippines,PHL,2012,88406848,43
Belgium,BEL,1959,88310100,
Belgium,BEL,1928,88246129,
Sweden,SWE,1976,88241246,
Kazakhstan,KAZ,1959,88239790,
Australia,AUS,1960,88118900,
Japan,JPN,1948,88082370,
Hungary,HUN,1978,88046119,
Thailand,THA,1990,87917152,
Algeria,DZA,2004,87853102,
Vietnam,VNM,2004,87800210,
Belgium,BEL,1958,87685101,
Italy,ITA,1958,87598381,
Algeria,DZA,2000,87442683,
Uzbekistan,UZB,1974,87416299,
Sweden,SWE,1973,87289811,
South Africa,ZAF,1956,87262802,
Poland,POL,1907,87195872,
Italy,ITA,1957,87077968,
Bulgaria,BGR,1984,87044932,
Algeria,DZA,1997,87004346,
Greece,GRC,1995,86979098,
Kuwait,KWT,2009,86954927,
Bulgaria,BGR,1988,86913327,
North Korea,PRK,1994,86719499,
Malaysia,MYS,1993,86718637,
Nigeria,NGA,2001,86717489,
Hungary,HUN,1982,86713540,
Hungary,HUN,1980,86708981,
France,FRA,1888,86653600,
Belarus,BLR,1973,86571142,
Bulgaria,BGR,1989,86482227,
Hungary,HUN,1981,86461567,
Greece,GRC,1994,86442177,
Spain,ESP,1967,86393976,
Sweden,SWE,1969,86381133,
Iraq,IRQ,2002,86320877,
France,FRA,1883,86320176,
Kuwait,KWT,2011,86262629,42
Romania,ROU,2012,86255693,44
Turkey,TUR,1982,86210237,
Japan,JPN,1930,86165789,
Canada,CAN,1936,86163108,
Algeria,DZA,1994,86146674,
Hungary,HUN,1979,86081754,
Colombia,COL,2015,86071133,43
China,CHN,1940,86046622,
Romania,ROU,2009,86024136,
Hungary,HUN,1985,85946951,
Chile,CHL,2018,85829114,44
Sweden,SWE,1977,85740809,
Belgium,BEL,1954,85734575,
Bangladesh,BGD,2018,85718805,45
Turkmenistan,TKM,2019,85646506,45
Mexico,MEX,1922,85550736,
Canada,CAN,1938,85543536,
United Kingdom,GBR,1842,85371200,
Germany,DEU,1871,85349216,
Canada,CAN,1917,85242960,
Belgium,BEL,1948,85057291,
Greece,GRC,1992,84982711,
Czechia,CZE,1957,84947696,
Sweden,SWE,1979,84869066,
Canada,CAN,1926,84755648,
Sweden,SWE,1972,84703401,
Egypt,EGY,1994,84556486,
Iraq,IRQ,2001,84555922,
Sweden,SWE,1971,84508955,
Canada,CAN,1920,84378256,
Greece,GRC,1993,84296366,
Romania,ROU,2010,84289722,
Chile,CHL,2019,84266622,46
Uzbekistan,UZB,1973,84258612,
Chile,CHL,2016,84153728,44
Taiwan,TWN,1984,84139580,
Hungary,HUN,1987,84136472,
Brazil,BRA,1969,84132709,
Belgium,BEL,1931,84122813,
Iran,IRN,1950,84117845,
Romania,ROU,1966,84090675,
Chile,CHL,2017,84062128,44
Iran,IRN,1949,84033602,
Pakistan,PAK,1994,84019317,
Kazakhstan,KAZ,1958,83926003,
Taiwan,TWN,1985,83917501,
Algeria,DZA,1987,83883502,
Algeria,DZA,2001,83780674,
Philippines,PHL,2011,83743662,43
Australia,AUS,1959,83708157,
Algeria,DZA,1988,83708041,
United Arab Emirates,ARE,2002,83697972,
Pakistan,PAK,1995,83615083,
Italy,ITA,1956,83475058,
Belgium,BEL,1952,83463965,
Greece,GRC,1990,83425548,
Greece,GRC,1991,83401121,
France,FRA,1887,83290048,
Netherlands,NLD,1962,83281906,
Saudi Arabia,SAU,1975,83260765,
Hungary,HUN,1986,83240792,
Taiwan,TWN,1980,83119364,
Hungary,HUN,1977,83074964,
Belarus,BLR,1972,83066154,
Iran,IRN,1969,83038745,
